 ispLEVER Classic 2.1.00.02.49.20 Fitter Report File 
Project Name,labx
Project Path,D:\isp\labX
Project Fitted on,Fri Jun 09 10:53:19 2023

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
125,I_O/OE,1,P2,*,LVCMOS18,Output,result_3_
126,INCLK3,1,,,,,
127,GNDIO0,-,,,,,
128,INCLK0,0,,*,LVCMOS18,Input,clk
129,VCC,-,,,,,
130,I_O/OE,0,A2,,,,
131,I_O,0,A4,,,,
132,I_O,0,A6,,,,
133,I_O,0,A8,,,,
134,I_O,0,A10,,,,
135,I_O,0,A12,,,,
136,VCCIO0,-,,,,,
137,GNDIO0,-,,,,,
138,I_O,0,B2,,,,
139,I_O,0,B4,,,,
140,I_O,0,B6,,,,
141,I_O,0,B8,,,,
142,I_O,0,B10,,,,
143,I_O,0,B12,,,,
144,IN9,0,,,,,
